route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
14,Saturday,1156,City Center via Jantzen,0,177,211,0,0
14,Saturday,1218,Delta Park No Jantzen,1,177,210,0,0
14,Saturday,1157,City Center via Jantzen,0,177,211,0,0
14,Saturday,1219,Delta Park No Jantzen,1,177,210,0,0
14,Saturday,1159,City Center via Jantzen,0,177,211,0,0
14,Saturday,1264,Delta Park No Jantzen,1,177,210,0,0
14,Saturday,1161,City Center via Jantzen,0,177,211,0,0
14,Saturday,1266,Delta Park No Jantzen,1,177,210,0,0
14,Saturday,1163,City Center via Jantzen,0,177,211,0,0
14,Saturday,1268,Delta Park No Jantzen,1,177,210,0,0
14,Saturday,1165,City Center via Jantzen,0,177,211,0,0
14,Saturday,1270,Delta Park No Jantzen,1,177,210,0,0
14,Saturday,1167,City Center via Jantzen,0,177,211,0,0
14,Saturday,1272,Delta Park No Jantzen,1,177,210,0,0
14,Saturday,1169,City Center via Jantzen,0,177,211,0,0
14,Saturday,1220,Delta Park No Jantzen,1,177,210,0,0
14,Saturday,1171,City Center No Jantzen,0,177,212,0,0
14,Saturday,1222,Delta Park via Jantzen,1,177,208,0,0
14,Saturday,1173,City Center No Jantzen,0,177,212,0,0
14,Saturday,1224,Delta Park via Jantzen,1,177,208,0,0
14,Saturday,1175,City Center No Jantzen,0,177,212,0,0
14,Saturday,1226,Delta Park via Jantzen,1,177,208,0,0
14,Saturday,1177,City Center No Jantzen,0,177,212,0,0
14,Saturday,1228,Delta Park via Jantzen,1,177,208,0,0
14,Saturday,1180,City Center No Jantzen,0,177,212,0,0
14,Saturday,1230,Delta Park via Jantzen,1,177,208,0,0
14,Saturday,1183,City Center No Jantzen,0,177,212,0,0
14,Saturday,1233,Delta Park via Jantzen,1,177,208,0,0
14,Saturday,1186,City Center No Jantzen,0,177,212,0,0
14,Saturday,1236,Delta Park via Jantzen,1,177,208,0,0
14,Saturday,1189,City Center No Jantzen,0,177,212,0,0
14,Saturday,1239,Delta Park via Jantzen,1,177,208,0,0
14,Saturday,1192,City Center No Jantzen,0,177,212,0,0
14,Saturday,1242,Delta Park via Jantzen,1,177,208,0,0
14,Saturday,1194,City Center No Jantzen,0,177,212,0,0
14,Saturday,1244,Delta Park via Jantzen,1,177,208,0,0
14,Saturday,1196,City Center No Jantzen,0,177,212,0,0
14,Saturday,1246,Delta Park via Jantzen,1,177,208,0,0
14,Saturday,1198,City Center No Jantzen,0,177,212,0,0
14,Saturday,1248,Delta Park via Jantzen,1,177,208,0,0
14,Saturday,1200,City Center No Jantzen,0,177,212,0,0
14,Saturday,1250,Delta Park via Jantzen,1,177,208,0,0
14,Saturday,1202,City Center No Jantzen,0,177,212,0,0
14,Saturday,1252,Delta Park via Jantzen,1,177,208,0,0
14,Saturday,1204,City Center No Jantzen,0,177,212,0,0
14,Saturday,1254,Delta Park via Jantzen,1,177,208,0,0
14,Saturday,1206,City Center No Jantzen,0,177,212,0,0
14,Saturday,1256,Delta Park via Jantzen,1,177,208,0,0
14,Saturday,1975,City Center No Jantzen,0,177,212,0,0
14,Saturday,4661,Broadway & 12th St fs,1,177,209,0,0
14,Saturday,1158,City Center via Jantzen,0,178,211,0,0
14,Saturday,1263,Delta Park No Jantzen,1,178,210,0,0
14,Saturday,1160,City Center via Jantzen,0,178,211,0,0
14,Saturday,1265,Delta Park No Jantzen,1,178,210,0,0
14,Saturday,1162,City Center via Jantzen,0,178,211,0,0
14,Saturday,1267,Delta Park No Jantzen,1,178,210,0,0
14,Saturday,1164,City Center via Jantzen,0,178,211,0,0
14,Saturday,1269,Delta Park No Jantzen,1,178,210,0,0
14,Saturday,1166,City Center via Jantzen,0,178,211,0,0
14,Saturday,1271,Delta Park No Jantzen,1,178,210,0,0
14,Saturday,1168,City Center via Jantzen,0,178,211,0,0
14,Saturday,1273,Delta Park No Jantzen,1,178,210,0,0
14,Saturday,1170,City Center No Jantzen,0,178,212,0,0
14,Saturday,1221,Delta Park via Jantzen,1,178,208,0,0
14,Saturday,1172,City Center No Jantzen,0,178,212,0,0
14,Saturday,1223,Delta Park via Jantzen,1,178,208,0,0
14,Saturday,1174,City Center No Jantzen,0,178,212,0,0
14,Saturday,1225,Delta Park via Jantzen,1,178,208,0,0
14,Saturday,1176,City Center No Jantzen,0,178,212,0,0
14,Saturday,1227,Delta Park via Jantzen,1,178,208,0,0
14,Saturday,1179,City Center No Jantzen,0,178,212,0,0
14,Saturday,1229,Delta Park via Jantzen,1,178,208,0,0
14,Saturday,1182,City Center No Jantzen,0,178,212,0,0
14,Saturday,1232,Delta Park via Jantzen,1,178,208,0,0
14,Saturday,1185,City Center No Jantzen,0,178,212,0,0
14,Saturday,1235,Delta Park via Jantzen,1,178,208,0,0
14,Saturday,1188,City Center No Jantzen,0,178,212,0,0
14,Saturday,1238,Delta Park via Jantzen,1,178,208,0,0
14,Saturday,1191,City Center No Jantzen,0,178,212,0,0
14,Saturday,1241,Delta Park via Jantzen,1,178,208,0,0
14,Saturday,1193,City Center No Jantzen,0,178,212,0,0
14,Saturday,1243,Delta Park via Jantzen,1,178,208,0,0
14,Saturday,1195,City Center No Jantzen,0,178,212,0,0
14,Saturday,1245,Delta Park via Jantzen,1,178,208,0,0
14,Saturday,1197,City Center No Jantzen,0,178,212,0,0
14,Saturday,1247,Delta Park via Jantzen,1,178,208,0,0
14,Saturday,1199,City Center No Jantzen,0,178,212,0,0
14,Saturday,1249,Delta Park via Jantzen,1,178,208,0,0
14,Saturday,1201,City Center No Jantzen,0,178,212,0,0
14,Saturday,1251,Delta Park via Jantzen,1,178,208,0,0
14,Saturday,1203,City Center No Jantzen,0,178,212,0,0
14,Saturday,1253,Delta Park via Jantzen,1,178,208,0,0
14,Saturday,1205,City Center No Jantzen,0,178,212,0,0
14,Saturday,1255,Delta Park via Jantzen,1,178,208,0,0
14,Saturday,1207,City Center No Jantzen,0,178,212,0,0
14,Saturday,1257,Delta Park via Jantzen,1,178,208,0,0
14,Saturday,1208,City Center No Jantzen,0,178,212,0,0
14,Saturday,1258,Delta Park via Jantzen,1,178,208,0,0
14,Saturday,1209,City Center No Jantzen,0,178,212,0,0
14,Saturday,1259,Delta Park via Jantzen,1,178,208,0,0
14,Saturday,1210,City Center No Jantzen,0,178,212,0,0
14,Saturday,1260,Delta Park via Jantzen,1,178,208,0,0
14,Saturday,1211,City Center No Jantzen,0,178,212,0,0
14,Saturday,1261,Delta Park via Jantzen,1,178,208,0,0
14,Saturday,1212,City Center No Jantzen,0,178,212,0,0
14,Saturday,1262,Delta Park via Jantzen,1,178,208,0,0
14,Saturday,1213,City Center No Jantzen,0,178,212,0,0
14,Saturday,3581,Broadway & 12th St fs,1,178,209,0,0
14,Saturday,1178,City Center No Jantzen,0,179,212,0,0
14,Saturday,1274,Delta Park via Jantzen,1,179,208,0,0
14,Saturday,1181,City Center No Jantzen,0,179,212,0,0
14,Saturday,1231,Delta Park via Jantzen,1,179,208,0,0
14,Saturday,1184,City Center No Jantzen,0,179,212,0,0
14,Saturday,1234,Delta Park via Jantzen,1,179,208,0,0
14,Saturday,1187,City Center No Jantzen,0,179,212,0,0
14,Saturday,1237,Delta Park via Jantzen,1,179,208,0,0
14,Saturday,1190,City Center No Jantzen,0,179,212,0,0
14,Saturday,1240,Delta Park via Jantzen,1,179,208,0,0
15,Saturday,89,Parkrose/Sumner Transit,1,180,213,0,0
15,Saturday,110,Fisher's Landing Transit,0,180,214,0,0
15,Saturday,90,Parkrose/Sumner Transit,1,180,213,0,0
15,Saturday,111,Fisher's Landing Transit,0,180,214,0,0
15,Saturday,91,Parkrose/Sumner Transit,1,180,213,0,0
15,Saturday,112,Fisher's Landing Transit,0,180,214,0,0
15,Saturday,92,Parkrose/Sumner Transit,1,180,213,0,0
15,Saturday,113,Fisher's Landing Transit,0,180,214,0,0
15,Saturday,93,Parkrose/Sumner Transit,1,180,213,0,0
15,Saturday,114,Fisher's Landing Transit,0,180,214,0,0
